0	-0.896	-0.444	-2.343	0
0.107	-0.902	-0.433	-2.428	5
0.207	-0.907	-0.421	-2.501	5
0.314	-0.913	-0.409	-2.572	5
0.415	-0.918	-0.397	-2.631	5
0.522	-0.923	-0.384	-2.686	5
0.628	-0.929	-0.371	-2.733	5
0.729	-0.934	-0.357	-2.77	5
0.829	-0.939	-0.344	-2.799	5
0.93	-0.944	-0.33	-2.821	5
1.03	-0.949	-0.316	-2.835	5
1.131	-0.953	-0.302	-2.842	5
1.238	-0.958	-0.288	-2.84	5
1.338	-0.962	-0.274	-2.831	5
1.445	-0.966	-0.26	-2.812	5
1.546	-0.969	-0.246	-2.787	5
1.652	-0.973	-0.232	-2.751	5
1.759	-0.976	-0.218	-2.708	5
1.86	-0.979	-0.205	-2.659	5
1.967	-0.981	-0.192	-2.6	5
2.067	-0.984	-0.179	-2.537	5
2.168	-0.986	-0.166	-2.468	5
2.275	-0.988	-0.154	-2.386	5
2.381	-0.99	-0.143	-2.298	5
2.482	-0.991	-0.131	-2.209	5
2.582	-0.993	-0.121	-2.114	5
2.683	-0.994	-0.111	-2.014	5
2.79	-0.995	-0.101	-1.903	5
2.897	-0.996	-0.092	-1.786	5
3.003	-0.996	-0.084	-1.665	5
3.104	-0.997	-0.076	-1.548	5
-3.079	-0.998	-0.069	-1.429	5
-2.972	-0.998	-0.062	-1.3	5
-2.865	-0.998	-0.057	-1.171	5
-2.758	-0.999	-0.051	-1.043	5
-2.652	-0.999	-0.046	-0.919	5
-2.551	-0.999	-0.042	-0.81	5
-2.444	-0.999	-0.038	-0.708	5
-2.337	-0.999	-0.035	-0.628	5
-2.237	-1	-0.031	-0.582	5
-2.136	-1	-0.029	-0.573	5
-2.029	-1	-0.026	-0.606	5
-1.923	-1	-0.024	-0.677	5
-1.816	-1	-0.021	-0.774	5
-1.709	-1	-0.019	-0.889	5
-1.602	-1	-0.017	-1.014	5
-1.495	-1	-0.014	-1.145	5
-1.389	-1	-0.012	-1.279	5
-1.282	-1	-0.009	-1.413	5
-1.181	-1	-0.006	-1.539	5
-1.081	-1	-0.002	-1.663	5
-0.98	-1	0.001	-1.785	5
-0.88	-1	0.005	-1.904	5
-0.779	-1	0.01	-2.019	5
-0.672	-1	0.015	-2.136	5
-0.572	-1	0.02	-2.242	5
-0.459	-1	0.026	-2.355	5
-0.358	-0.999	0.032	-2.45	5
-0.258	-0.999	0.039	-2.539	5
-0.151	-0.999	0.046	-2.627	5
-0.044	-0.999	0.054	-2.708	5
0.057	-0.413	-0.911	-2.777	5
0.157	-0.418	-0.908	-2.84	5
0.264	-0.423	-0.906	-2.898	5
0.371	-0.428	-0.904	-2.949	5
0.484	-0.432	-0.902	-2.992	5
0.584	-0.437	-0.899	-3.024	5
0.685	-0.442	-0.897	-3.048	5
0.792	-0.447	-0.895	-3.065	5
0.892	-0.451	-0.892	-3.073	5
0.993	-0.456	-0.89	-3.074	5
1.1	-0.46	-0.888	-3.066	5
1.206	-0.464	-0.886	-3.049	5
1.307	-0.469	-0.883	-3.025	5
1.407	-0.472	-0.881	-2.994	5
1.508	-0.476	-0.879	-2.955	5
1.615	-0.48	-0.877	-2.906	5
1.722	-0.483	-0.875	-2.848	5
1.828	-0.487	-0.874	-2.783	5
1.935	-0.49	-0.872	-2.709	5
2.042	-0.492	-0.87	-2.629	5
2.149	-0.495	-0.869	-2.541	5
2.256	-0.498	-0.867	-2.447	5
2.356	-0.5	-0.866	-2.352	5
2.463	-0.502	-0.865	-2.246	5
2.57	-0.504	-0.864	-2.134	5
2.67	-0.506	-0.863	-2.025	5
2.777	-0.507	-0.862	-1.905	5
2.884	-0.509	-0.861	-1.781	5
2.985	-0.51	-0.86	-1.663	5
3.085	-0.511	-0.859	-1.543	5
-3.091	-0.512
