0.0	0.65	-0.76	1.506	0.0
0.0	0.619	-0.785	1.492	0.0
0.0	0.591	-0.807	1.48	0.0
0.0	0.565	-0.825	1.467	0.0
0.0	0.54	-0.841	1.455	0.0
0.0	0.518	-0.855	1.442	0.0
0.0	0.497	-0.868	1.43	0.0
0.0	0.478	-0.879	1.418	0.0
0.0	0.46	-0.888	1.405	0.0
0.0	0.443	-0.896	1.393	0.0
0.0	0.428	-0.904	1.381	0.0
0.0	0.413	-0.911	1.369	0.0
-0.107	0.4	-0.917	1.357	6.0
-0.214	0.387	-0.922	1.345	6.0
-0.32	0.375	-0.927	1.333	6.0
-0.427	0.364	-0.931	1.321	6.0
-0.534	0.354	-0.935	1.31	6.0
-0.635	0.344	-0.939	1.299	6.0
-0.741	0.335	-0.942	1.287	6.0
-0.848	0.326	-0.945	1.276	6.0
-0.949	0.318	-0.948	1.265	6.0
-1.049	0.31	-0.951	1.255	6.0
-1.156	0.303	-0.953	1.244	6.0
-1.156	0.296	-0.955	1.233	0.0
-1.156	0.289	-0.957	1.223	0.0
-1.156	0.283	-0.959	1.212	0.0
-1.156	0.277	-0.961	1.202	0.0
-1.156	0.272	-0.962	1.192	0.0
-1.156	0.266	-0.964	1.181	0.0
-1.156	0.261	-0.965	1.171	0.0
-1.156	0.256	-0.967	1.161	0.0
-1.156	0.251	-0.968	1.151	0.0
-1.156	0.247	-0.969	1.141	0.0
-1.156	0.243	-0.97	1.132	0.0
-1.156	0.238	-0.971	1.122	0.0
-1.156	0.234	-0.972	1.112	0.0
-1.156	0.231	-0.973	1.102	0.0
-1.156	0.227	-0.974	1.093	0.0
-1.263	0.223	-0.975	1.083	6.0
-1.37	0.22	-0.975	1.073	6.0
-1.47	0.217	-0.976	1.064	6.0
-1.571	0.214	-0.977	1.056	6.0
-1.671	0.211	-0.978	1.047	6.0
-1.778	0.208	-0.978	1.038	6.0
-1.879	0.205	-0.979	1.029	6.0
-1.979	0.202	-0.979	1.02	6.0
-2.086	0.2	-0.98	1.011	6.0
-2.193	0.197	-0.98	1.002	6.0
-2.293	0.195	-0.981	0.994	6.0
-2.293	0.192	-0.981	0.985	0.0
-2.293	0.19	-0.982	0.977	0.0
-2.293	0.188	-0.982	0.969	0.0
-2.293	0.187	-0.982	0.886	1.0
-2.293	0.187	-0.982	0.815	1.0
-2.293	0.189	-0.982	0.758	1.0
-2.293	1.0	-0.027	-2.801	1.0
